pais_id,pais,provincia_id,provincia,departamento,localidad,rubro,productos,categoria_id,categoria_desc,Certificadora_id,certificadora_deno,razón social,establecimiento
32,ARGENTINA,6,BUENOS AIRES,BENITO JUAREZ,INDEFINIDA,AGRICULTURA,TRIGO,1,Productores,3,Letis S.A.,BANDERITAS S.A.,LA NELIDA
32,ARGENTINA,6,BUENOS AIRES,BENITO JUAREZ,INDEFINIDA,AGRICULTURA,SOJA,1,Productores,3,Letis S.A.,BANDERITAS S.A.,LA NELIDA
32,ARGENTINA,6,BUENOS AIRES,25 DE MAYO,INDEFINIDA,FRUTICULTURA,ARANDANO,1,Productores,2,OIA S.A.,BARRETO JORGE JAVIER,LOS ARANDANALES
32,ARGENTINA,6,BUENOS AIRES,25 DE MAYO,INDEFINIDA,HORTICULTURA,ARANDANO,1,Productores,2,OIA S.A.,BARRETO JORGE JAVIER,LOS ARANDANALES
32,ARGENTINA,6,BUENOS AIRES,25 DE MAYO,INDEFINIDA,AGRICULTURA,INCULTO,1,Productores,2,OIA S.A.,BARRETO JORGE JAVIER,LOS ARANDANALES
32,ARGENTINA,6,BUENOS AIRES,SAN PEDRO,INDEFINIDA,FRUTICULTURA,ARANDANO,1,Productores,2,OIA S.A.,BERRIES PREMIUM SA,BERRIES PREMIUM
32,ARGENTINA,6,BUENOS AIRES,SAN PEDRO,INDEFINIDA,HORTICULTURA,ARANDANO,1,Productores,2,OIA S.A.,BERRIES PREMIUM SA,BERRIES PREMIUM
32,ARGENTINA,6,BUENOS AIRES,SAN PEDRO,INDEFINIDA,FRUTICULTURA,NARANJA,1,Productores,2,OIA S.A.,BERRIES PREMIUM SA,BERRIES PREMIUM
32,ARGENTINA,6,BUENOS AIRES,SAN PEDRO,INDEFINIDA,HORTICULTURA,NARANJA,1,Productores,2,OIA S.A.,BERRIES PREMIUM SA,BERRIES PREMIUM
32,ARGENTINA,6,BUENOS AIRES,GENERAL LAS HERAS,INDEFINIDA,GANADERIA,VACAS,1,Productores,2,OIA S.A.,BIANCHI FERNANDO LUIS,"""LA JULIA"" Y ""LA JULITA"""
32,ARGENTINA,6,BUENOS AIRES,GENERAL LAS HERAS,INDEFINIDA,GANADERIA,VAQUILLONAS,1,Productores,2,OIA S.A.,BIANCHI FERNANDO LUIS,"""LA JULIA"" Y ""LA JULITA"""
32,ARGENTINA,6,BUENOS AIRES,GENERAL LAS HERAS,INDEFINIDA,GANADERIA,NOVILLOS,1,Productores,2,OIA S.A.,BIANCHI FERNANDO LUIS,"""LA JULIA"" Y ""LA JULITA"""
32,ARGENTINA,6,BUENOS AIRES,GENERAL LAS HERAS,INDEFINIDA,GANADERIA,TOROS,1,Productores,2,OIA S.A.,BIANCHI FERNANDO LUIS,"""LA JULIA"" Y ""LA JULITA"""
32,ARGENTINA,6,BUENOS AIRES,GENERAL LAS HERAS,INDEFINIDA,GANADERIA,TERNERAS,1,Productores,2,OIA S.A.,BIANCHI FERNANDO LUIS,"""LA JULIA"" Y ""LA JULITA"""
32,ARGENTINA,6,BUENOS AIRES,CORONEL DORREGO,INDEFINIDA,AGRICULTURA,OLIVO,1,Productores,2,OIA S.A.,BIOLIVE S.A.,EL PIAL
32,ARGENTINA,6,BUENOS AIRES,ZARATE,LIMA,FRUTICULTURA,REPOLLO,1,Productores,2,OIA S.A.,BORCHARDT FRANCISCO,ORGANIC ORCHARD
32,ARGENTINA,6,BUENOS AIRES,ZARATE,LIMA,HORTICULTURA,REPOLLO,1,Productores,2,OIA S.A.,BORCHARDT FRANCISCO,ORGANIC ORCHARD
